,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
88,Cheetham,E05011356,"6,953","1,200",17.3,"2,455",35.3,"2,536",36.5,762,11.0,726,10.4,"2,041",29.4,"3,069",44.1,845,12.2,272,3.9,"2,762",39.7,"3,075",44.2,946,13.6,170,2.4,"4,779",68.7,"1,654",23.8,520,7.5,193,2.8,180,2.6,623,9.0,20,0.3,"2,050",29.5,38,0.5,"1,882",27.1,"2,960",42.6,23,0.3,"1,449",18.0,"1,136",14.1,893,11.1,607,7.5,106,1.3,73,0.9,65,0.8,101,1.3,"3,043",37.8,953,11.8,"2,090",26.0,"5,005",62.2,"4,490",55.8,515,6.4
89,Chorlton,E05011357,"5,680",988,17.4,"1,453",25.6,"1,945",34.2,"1,294",22.8,"1,977",34.8,"1,940",34.2,"1,627",28.6,103,1.8,33,0.6,"1,338",23.6,"2,851",50.2,"1,253",22.1,237,4.2,"4,108",72.3,"1,309",23.0,263,4.6,106,1.9,26,0.5,375,6.6,20,0.4,"3,525",62.1,22,0.4,462,8.1,"1,666",29.3,3,0.1,309,4.1,"1,034",13.7,"1,050",13.9,352,4.7,95,1.3,60,0.8,55,0.7,43,0.6,"1,798",23.9,589,7.8,"1,209",16.1,"5,733",76.1,"4,935",65.5,798,10.6
90,Chorlton Park,E05011358,"7,103",824,11.6,"1,425",20.1,"3,364",47.4,"1,490",21.0,"2,433",34.3,"2,292",32.3,"2,004",28.2,286,4.0,87,1.2,"1,926",27.1,"3,304",46.5,"1,503",21.2,370,5.2,"4,673",65.8,"1,899",26.7,531,7.5,109,1.5,77,1.1,545,7.7,52,0.7,"3,803",53.5,48,0.7,"1,717",24.2,"1,527",21.5,8,0.1,517,6.0,"1,346",15.5,"1,403",16.2,440,5.1,106,1.2,51,0.6,70,0.8,57,0.7,"2,435",28.1,815,9.4,"1,620",18.7,"6,231",71.9,"5,480",63.2,751,8.7
91,Clayton & Openshaw,E05011359,"7,709",901,11.7,"2,745",35.6,"3,448",44.7,615,8.0,"1,385",18.0,"2,490",32.3,"3,100",40.2,617,8.0,118,1.5,"3,283",42.6,"3,389",44.0,892,11.6,145,1.9,"4,894",63.5,"2,139",27.7,676,8.8,168,2.2,144,1.9,811,10.5,23,0.3,"2,249",29.2,92,1.2,"3,163",41.0,"2,188",28.4,17,0.2,844,11.0,"1,661",21.6,"1,451",18.9,750,9.8,77,1.0,69,0.9,81,1.1,151,2.0,"2,642",34.4,789,10.3,"1,853",24.1,"5,035",65.6,"4,549",59.3,486,6.3
92,Crumpsall,E05011360,"6,022","1,193",19.8,"1,414",23.5,"2,386",39.6,"1,029",17.1,"1,127",18.7,"1,712",28.4,"2,380",39.5,608,10.1,195,3.2,"2,060",34.2,"2,606",43.3,"1,075",17.9,281,4.7,"3,881",64.4,"1,681",27.9,460,7.6,135,2.2,141,2.3,503,8.3,13,0.2,"2,627",43.6,71,1.2,"1,017",16.9,"2,301",38.2,6,0.1,"1,017",15.9,"1,066",16.7,967,15.1,524,8.2,87,1.4,30,0.5,66,1.0,55,0.9,"2,693",42.1,796,12.4,"1,897",29.7,"3,703",57.9,"3,336",52.2,367,5.7
93,Deansgate,E05011361,"6,278","2,072",33.0,"3,887",61.9,289,4.6,30,0.5,118,1.9,"2,622",41.8,"3,384",53.9,144,2.3,11,0.2,"3,808",60.7,"2,119",33.8,318,5.1,33,0.5,"5,390",85.9,790,12.6,98,1.6,286,4.6,51,0.8,108,1.7,19,0.3,"1,436",22.9,30,0.5,252,4.0,"4,558",72.6,2,0.0,"1,236",16.9,472,6.4,500,6.8,436,5.9,120,1.6,61,0.8,87,1.2,117,1.6,"1,356",18.5,685,9.4,671,9.2,"5,970",81.5,"5,108",69.7,862,11.8
94,Didsbury East,E05011362,"6,227",554,8.9,"1,417",22.8,"2,760",44.3,"1,496",24.0,"2,559",41.1,"2,205",35.4,"1,317",21.1,126,2.0,20,0.3,"1,168",18.8,"3,037",48.8,"1,698",27.3,324,5.2,"4,527",72.7,"1,378",22.1,323,5.2,89,1.4,37,0.6,415,6.7,21,0.3,"4,207",67.6,46,0.7,406,6.5,"1,566",25.1,2,0.0,419,5.3,789,10.0,"1,431",18.2,484,6.1,150,1.9,78,1.0,76,1.0,67,0.9,"1,868",23.7,665,8.4,"1,203",15.3,"6,010",76.3,"5,062",64.3,948,12.0
95,Didsbury West,E05011363,"7,432","1,892",25.5,"2,587",34.8,"1,405",18.9,"1,548",20.8,"2,065",27.8,"2,512",33.8,"2,747",37.0,95,1.3,13,0.2,"1,881",25.3,"3,565",48.0,"1,700",22.9,286,3.8,"5,831",78.5,"1,414",19.0,187,2.5,102,1.4,44,0.6,483,6.5,20,0.3,"3,580",48.2,22,0.3,584,7.9,"3,244",43.7,1,0.0,564,5.9,988,10.4,"1,702",17.8,489,5.1,135,1.4,93,1.0,90,0.9,72,0.8,"1,664",17.4,628,6.6,"1,036",10.9,"7,880",82.6,"6,551",68.6,"1,329",13.9
96,Fallowfield,E05011364,"4,311",489,11.3,994,23.1,"1,893",43.9,935,21.7,952,22.1,"1,371",31.8,"1,587",36.8,295,6.8,108,2.5,"1,713",39.7,"1,799",41.7,603,14.0,196,4.5,"2,596",60.2,"1,250",29.0,465,10.8,66,1.5,86,2.0,394,9.1,13,0.3,"1,238",28.7,23,0.5,"1,356",31.5,"1,664",38.6,30,0.7,562,11.7,"1,060",22.1,694,14.5,268,5.6,83,1.7,42,0.9,58,1.2,135,2.8,"2,162",45.2,"1,084",22.6,"1,078",22.5,"2,625",54.8,"2,410",50.3,215,4.5
97,Gorton & Abbey Hey,E05011365,"8,353",990,11.9,"3,315",39.7,"3,493",41.8,555,6.6,"1,502",18.0,"2,813",33.7,"3,189",38.2,709,8.5,140,1.7,"3,701",44.3,"3,485",41.7,946,11.3,221,2.6,"5,306",63.5,"2,433",29.1,617,7.4,222,2.7,197,2.4,812,9.7,26,0.3,"2,937",35.2,111,1.3,"2,534",30.3,"2,741",32.8,29,0.3,770,9.8,"1,564",19.9,"1,734",22.1,775,9.9,102,1.3,58,0.7,71,0.9,127,1.6,"2,826",36.0,872,11.1,"1,954",24.9,"5,032",64.0,"4,529",57.6,503,6.4
98,Harpurhey,E05011366,"7,895","1,278",16.2,"2,922",37.0,"3,016",38.2,682,8.6,"1,287",16.3,"2,497",31.6,"3,263",41.3,708,9.0,139,1.8,"3,752",47.5,"3,177",40.2,860,10.9,106,1.3,"4,978",63.1,"2,309",29.2,608,7.7,192,2.4,197,2.5,767,9.7,50,0.6,"2,240",28.4,67,0.8,"3,296",41.7,"2,265",28.7,30,0.4,923,12.8,"1,573",21.9,"1,253",17.4,712,9.9,98,1.4,41,0.6,67,0.9,132,1.8,"2,466",34.3,712,9.9,"1,754",24.4,"4,723",65.7,"4,278",59.5,445,6.2
99,Higher Blackley,E05011367,"6,398",503,7.9,"2,062",32.2,"3,417",53.4,416,6.5,"1,568",24.5,"2,335",36.5,"2,047",32.0,383,6.0,63,1.0,"2,242",35.0,"2,924",45.7,991,15.5,241,3.8,"3,855",60.3,"1,958",30.6,585,9.1,103,1.6,124,1.9,606,9.5,31,0.5,"2,765",43.2,51,0.8,"2,370",37.0,"1,190",18.6,24,0.4,678,10.8,972,15.5,"1,415",22.6,622,10.0,90,1.4,43,0.7,57,0.9,84,1.3,"2,110",33.8,594,9.5,"1,516",24.3,"4,141",66.2,"3,749",60.0,392,6.3
100,Hulme,E05011368,"7,880","1,759",22.3,"4,207",53.4,"1,539",19.5,375,4.8,682,8.7,"2,966",37.6,"3,769",47.8,400,5.1,62,0.8,"4,137",52.5,"3,179",40.3,475,6.0,89,1.1,"5,764",73.2,"1,854",23.5,261,3.3,267,3.4,132,1.7,591,7.5,31,0.4,"1,477",18.7,22,0.3,"2,813",35.7,"3,560",45.2,9,0.1,"1,428",16.0,"1,205",13.5,806,9.0,571,6.4,149,1.7,75,0.8,111,1.2,165,1.9,"2,609",29.3,"1,102",12.4,"1,507",16.9,"6,305",70.7,"5,664",63.5,641,7.2
101,Levenshulme,E05011369,"7,234",860,11.9,"2,905",40.2,"2,779",38.4,690,9.5,"1,333",18.4,"2,391",33.1,"2,527",34.9,775,10.7,208,2.9,"2,652",36.7,"3,408",47.1,963,13.3,211,2.9,"4,755",65.7,"2,005",27.7,473,6.5,171,2.4,173,2.4,649,9.0,19,0.3,"3,232",44.7,68,0.9,"1,107",15.3,"2,817",38.9,10,0.1,668,8.4,"1,307",16.4,"1,311",16.5,533,6.7,88,1.1,50,0.6,84,1.1,85,1.1,"3,000",37.7,884,11.1,"2,116",26.6,"4,949",62.3,"4,525",56.9,424,5.3
102,Longsight,E05011370,"6,473",628,9.7,"2,025",31.3,"3,022",46.7,798,12.3,"1,002",15.5,"1,765",27.3,"2,511",38.8,890,13.7,306,4.7,"2,411",37.2,"2,822",43.6,"1,007",15.6,233,3.6,"4,047",62.5,"1,802",27.8,624,9.6,171,2.6,206,3.2,659,10.2,16,0.2,"2,080",32.1,64,1.0,"2,407",37.2,"1,906",29.4,16,0.2,901,12.9,"1,356",19.5,"1,154",16.6,654,9.4,114,1.6,60,0.9,69,1.0,96,1.4,"3,209",46.1,894,12.8,"2,315",33.3,"3,751",53.9,"3,401",48.9,350,5.0
103,Miles Platting & Newton Heath,E05011371,"8,128","1,138",14.0,"2,829",34.8,"3,544",43.6,617,7.6,"1,706",21.0,"2,733",33.6,"3,026",37.2,553,6.8,110,1.4,"3,677",45.2,"3,386",41.7,877,10.8,188,2.3,"4,967",61.1,"2,491",30.6,670,8.2,160,2.0,136,1.7,827,10.2,33,0.4,"2,636",32.4,47,0.6,"3,826",47.1,"1,591",19.6,30,0.4,918,12.2,"1,775",23.7,"1,168",15.6,683,9.1,83,1.1,55,0.7,113,1.5,125,1.7,"2,383",31.8,685,9.1,"1,698",22.6,"5,121",68.2,"4,603",61.3,518,6.9
104,Moss Side (Manchester),E05011372,"7,269",960,13.2,"2,799",38.5,"2,524",34.7,986,13.6,"1,043",14.4,"2,094",28.8,"2,949",40.6,875,12.0,306,4.2,"3,657",50.3,"2,819",38.8,662,9.1,131,1.8,"4,871",67.0,"1,895",26.1,503,6.9,212,2.9,238,3.3,809,11.1,26,0.4,"1,512",20.8,52,0.7,"3,117",42.9,"2,570",35.3,20,0.3,"1,257",17.7,"1,412",19.9,809,11.4,497,7.0,93,1.3,37,0.5,72,1.0,117,1.6,"3,045",42.9,"1,148",16.2,"1,897",26.7,"4,052",57.1,"3,719",52.4,333,4.7
105,Moston,E05011373,"7,456",481,6.5,"2,207",29.6,"4,013",53.8,756,10.1,"2,123",28.5,"2,537",34.0,"2,273",30.5,447,6.0,77,1.0,"2,433",32.6,"3,318",44.5,"1,380",18.5,325,4.4,"4,761",63.9,"2,084",28.0,611,8.2,151,2.0,144,1.9,688,9.2,26,0.3,"4,031",54.1,21,0.3,"1,636",21.9,"1,746",23.4,22,0.3,780,9.9,"1,467",18.7,"1,561",19.9,837,10.7,74,0.9,73,0.9,77,1.0,122,1.6,"2,536",32.3,783,10.0,"1,753",22.3,"5,311",67.7,"4,811",61.3,500,6.4
106,Northenden,E05011374,"6,072",525,8.6,"1,190",19.6,"3,660",60.3,697,11.5,"1,933",31.8,"2,170",35.7,"1,689",27.8,227,3.7,52,0.9,"1,891",31.1,"2,727",44.9,"1,176",19.4,278,4.6,"3,707",61.1,"1,744",28.7,621,10.2,68,1.1,75,1.2,583,9.6,13,0.2,"2,810",46.3,40,0.7,"2,179",35.9,"1,036",17.1,7,0.1,668,10.4,"1,210",18.8,"1,251",19.5,420,6.5,106,1.7,39,0.6,49,0.8,64,1.0,"1,928",30.0,633,9.9,"1,295",20.2,"4,494",70.0,"4,022",62.6,472,7.3
107,Old Moat,E05011375,"5,757",873,15.2,"1,310",22.8,"2,461",42.7,"1,113",19.3,"1,437",25.0,"1,754",30.5,"2,207",38.3,282,4.9,77,1.3,"2,007",34.9,"2,518",43.7,969,16.8,262,4.6,"3,647",63.3,"1,611",28.0,499,8.7,102,1.8,72,1.3,556,9.7,41,0.7,"1,913",33.2,61,1.1,"1,628",28.3,"2,143",37.2,11,0.2,599,9.1,"1,110",16.8,"1,190",18.0,316,4.8,87,1.3,38,0.6,56,0.8,105,1.6,"2,196",33.2,966,14.6,"1,230",18.6,"4,416",66.8,"3,974",60.1,442,6.7
108,Piccadilly,E05011376,"6,263","2,611",41.7,"3,285",52.5,312,5.0,54,0.9,146,2.3,"2,008",32.1,"3,938",62.9,162,2.6,8,0.1,"4,264",68.1,"1,729",27.6,240,3.8,30,0.5,"5,173",82.6,974,15.6,116,1.9,395,6.3,65,1.0,152,2.4,20,0.3,"1,222",19.5,43,0.7,584,9.3,"4,412",70.4,2,0.0,"1,262",16.7,554,7.3,504,6.7,524,6.9,94,1.2,65,0.9,56,0.7,91,1.2,"1,300",17.2,608,8.1,692,9.2,"6,245",82.8,"5,488",72.7,757,10.0
109,Rusholme,E05011377,"4,787","1,094",22.9,"1,006",21.0,"1,569",32.8,"1,118",23.4,871,18.2,"1,144",23.9,"2,093",43.7,492,10.3,187,3.9,"2,110",44.1,"1,764",36.8,664,13.9,249,5.2,"3,046",63.6,"1,295",27.1,446,9.3,106,2.2,119,2.5,455,9.5,13,0.3,"1,499",31.3,17,0.4,"1,078",22.5,"2,189",45.7,7,0.1,815,14.5,"1,066",19.0,652,11.6,395,7.0,83,1.5,57,1.0,69,1.2,128,2.3,"2,530",45.1,"1,084",19.3,"1,446",25.8,"3,083",54.9,"2,791",49.7,292,5.2
110,Sharston,E05011378,"7,104",372,5.2,"2,149",30.3,"4,043",56.9,537,7.6,"1,779",25.0,"2,932",41.3,"2,026",28.5,322,4.5,45,0.6,"2,624",36.9,"3,073",43.3,"1,148",16.2,258,3.6,"4,212",59.3,"2,212",31.1,680,9.6,96,1.4,129,1.8,629,8.9,25,0.4,"2,566",36.1,59,0.8,"3,357",47.3,"1,108",15.6,14,0.2,988,13.8,"1,573",22.0,"1,032",14.5,671,9.4,124,1.7,22,0.3,36,0.5,81,1.1,"2,304",32.3,716,10.0,"1,588",22.3,"4,832",67.7,"4,406",61.7,426,6.0
111,Whalley Range,E05011379,"6,619","1,655",25.0,"1,982",29.9,"1,605",24.2,"1,377",20.8,"1,396",21.1,"1,892",28.6,"2,773",41.9,421,6.4,138,2.1,"2,423",36.6,"2,913",44.0,"1,007",15.2,276,4.2,"4,454",67.3,"1,767",26.7,398,6.0,172,2.6,117,1.8,573,8.7,23,0.3,"2,453",37.1,47,0.7,"1,449",21.9,"2,652",40.1,18,0.3,661,8.6,"1,481",19.3,896,11.6,390,5.1,77,1.0,43,0.6,62,0.8,65,0.8,"2,467",32.0,847,11.0,"1,620",21.0,"5,232",68.0,"4,647",60.4,585,7.6
112,Withington,E05011380,"5,538",930,16.8,"1,247",22.5,"1,981",35.8,"1,380",24.9,"1,451",26.2,"1,649",29.8,"2,137",38.6,239,4.3,61,1.1,"1,975",35.7,"2,260",40.8,988,17.8,315,5.7,"3,669",66.2,"1,378",24.9,492,8.9,92,1.7,61,1.1,451,8.1,24,0.4,"1,972",35.6,22,0.4,868,15.7,"2,675",48.3,1,0.0,551,8.7,"1,109",17.4,"1,136",17.9,321,5.0,81,1.3,52,0.8,55,0.9,119,1.9,"2,393",37.6,"1,134",17.8,"1,259",19.8,"3,968",62.4,"3,511",55.2,457,7.2
113,Woodhouse Park,E05011381,"6,496",575,8.9,"2,187",33.7,"3,248",50.0,486,7.5,"1,445",22.2,"2,510",38.6,"2,176",33.5,309,4.8,56,0.9,"2,427",37.4,"2,865",44.1,981,15.1,223,3.4,"3,841",59.1,"2,013",31.0,642,9.9,89,1.4,93,1.4,617,9.5,27,0.4,"2,251",34.7,126,1.9,"3,084",47.5,"1,021",15.7,13,0.2,"1,181",17.9,"1,413",21.5,858,13.0,659,10.0,117,1.8,20,0.3,45,0.7,78,1.2,"2,109",32.1,615,9.3,"1,494",22.7,"4,471",67.9,"4,033",61.3,438,6.7
114,Alexandra (Oldham),E05000719,"4,797",636,13.3,"2,030",42.3,"1,554",32.4,577,12.0,669,13.9,"1,485",31.0,"1,926",40.2,523,10.9,194,4.0,"1,891",39.4,"1,946",40.6,710,14.8,250,5.2,"2,789",58.1,"1,520",31.7,488,10.2,88,1.8,140,2.9,585,12.2,8,0.2,"1,741",36.3,12,0.3,"2,058",42.9,960,20.0,28,0.6,610,14.2,943,22.0,637,14.8,430,10.0,111,2.6,58,1.4,40,0.9,56,1.3,"1,729",40.3,489,11.4,"1,240",28.9,"2,563",59.7,"2,302",53.6,261,6.1
115,Chadderton Central,E05000720,"4,537",435,9.6,"1,245",27.4,"2,078",45.8,779,17.2,"1,465",32.3,"1,636",36.1,"1,221",26.9,183,4.0,32,0.7,"1,069",23.6,"1,923",42.4,"1,206",26.6,339,7.5,"2,933",64.6,"1,242",27.4,362,8.0,56,1.2,46,1.0,357,7.9,25,0.6,"3,096",68.3,22,0.5,736,16.2,666,14.7,16,0.4,651,13.0,909,18.2,853,17.1,416,8.3,72,1.4,65,1.3,36,0.7,53,1.1,"1,504",30.1,447,8.9,"1,057",21.1,"3,496",69.9,"3,127",62.5,369,7.4
116,Chadderton North,E05000721,"4,502",258,5.7,"1,503",33.4,"1,971",43.8,770,17.1,"1,360",30.2,"1,663",36.9,"1,182",26.3,239,5.3,58,1.3,"1,008",22.4,"2,004",44.5,"1,162",25.8,327,7.3,"2,982",66.2,"1,178",26.2,344,7.6,35,0.8,51,1.1,367,8.2,19,0.4,"3,080",68.4,18,0.4,722,16.0,674,15.0,8,0.2,714,14.7,886,18.3,634,13.1,436,9.0,120,2.5,86,1.8,56,1.2,51,1.1,"1,616",33.3,487,10.0,"1,129",23.3,"3,236",66.7,"2,902",59.8,334,6.9
117,Chadderton South,E05000722,"4,850",412,8.5,"1,610",33.2,"2,503",51.6,328,6.8,"1,341",27.6,"1,866",38.5,"1,390",28.6,218,4.5,37,0.8,"1,390",28.7,"2,239",46.2,978,20.2,243,5.0,"3,057",63.0,"1,401",28.9,392,8.1,68,1.4,57,1.2,436,9.0,7,0.1,"2,930",60.4,30,0.6,966,19.9,904,18.6,19,0.4,694,13.5,"1,047",20.3,873,16.9,442,8.6,81,1.6,56,1.1,38,0.7,35,0.7,"1,462",28.4,388,7.5,"1,074",20.8,"3,690",71.6,"3,321",64.5,369,7.2
118,Coldhurst,E05000723,"4,322",865,20.0,"1,501",34.7,"1,219",28.2,737,17.1,472,10.9,"1,058",24.5,"1,888",43.7,607,14.0,297,6.9,"2,012",46.6,"1,604",37.1,541,12.5,165,3.8,"2,523",58.4,"1,394",32.3,405,9.4,65,1.5,126,2.9,507,11.7,23,0.5,"1,571",36.3,10,0.2,"1,839",42.5,882,20.4,20,0.5,"1,001",24.0,586,14.1,559,13.4,435,10.4,128,3.1,148,3.6,101,2.4,67,1.6,"2,035",48.9,521,12.5,"1,514",36.4,"2,126",51.1,"1,972",47.4,154,3.7
119,Crompton (Oldham),E05000724,"4,591",310,6.7,"1,456",31.7,"2,182",47.5,645,14.0,"1,629",35.5,"1,876",40.9,977,21.3,100,2.2,9,0.2,880,19.2,"2,090",45.5,"1,281",27.9,340,7.4,"2,944",64.1,"1,283",28.0,363,7.9,33,0.7,18,0.4,303,6.6,14,0.3,"3,502",76.3,16,0.3,463,10.1,606,13.2,2,0.0,482,10.4,959,20.6,671,14.4,489,10.5,147,3.2,42,0.9,36,0.8,45,1.0,"1,276",27.4,360,7.7,916,19.7,"3,381",72.6,"2,986",64.1,395,8.5
120,Failsworth East,E05000725,"4,702",443,9.4,"1,802",38.3,"1,856",39.5,601,12.8,"1,292",27.5,"1,981",42.1,"1,287",27.4,127,2.7,15,0.3,"1,244",26.5,"2,061",43.8,"1,063",22.6,335,7.1,"3,050",64.9,"1,326",28.2,325,6.9,52,1.1,41,0.9,348,7.4,5,0.1,"3,085",65.6,2,0.0,728,15.5,883,18.8,6,0.1,522,10.4,840,16.7,929,18.5,445,8.9,61,1.2,35,0.7,31,0.6,36,0.7,"1,317",26.2,378,7.5,939,18.7,"3,702",73.8,"3,307",65.9,395,7.9
121,Failsworth West,E05000726,"4,789",394,8.2,"1,738",36.3,"2,231",46.6,425,8.9,"1,339",28.0,"1,897",39.6,"1,353",28.3,180,3.8,20,0.4,"1,431",29.9,"2,128",44.4,"1,010",21.1,220,4.6,"3,099",64.7,"1,356",28.3,334,7.0,65,1.4,44,0.9,438,9.2,4,0.1,"2,978",62.2,10,0.2,899,18.8,897,18.7,5,0.1,498,9.7,765,14.9,"1,143",22.2,483,9.4,58,1.1,44,0.9,38,0.7,44,0.9,"1,370",26.7,395,7.7,975,19.0,"3,770",73.3,"3,381",65.8,389,7.6
122,Hollinwood,E05000727,"4,798",460,9.6,"1,892",39.4,"2,037",42.4,411,8.6,867,18.1,"1,814",37.8,"1,725",35.9,344,7.2,50,1.0,"1,703",35.5,"2,122",44.2,802,16.7,173,3.6,"2,757",57.4,"1,524",31.8,519,10.8,68,1.4,76,1.6,445,9.3,15,0.3,"2,037",42.5,7,0.1,"1,834",38.2,909,18.9,11,0.2,617,13.5,"1,094",23.9,688,15.0,420,9.2,78,1.7,44,1.0,34,0.7,53,1.2,"1,495",32.7,421,9.2,"1,074",23.5,"3,083",67.3,"2,747",60.0,336,7.3
123,Medlock Vale,E05000728,"5,012",388,7.7,"1,913",38.2,"2,030",40.5,680,13.6,868,17.3,"1,732",34.6,"1,774",35.4,471,9.4,166,3.3,"1,591",31.7,"2,183",43.6,978,19.5,260,5.2,"3,090",61.7,"1,395",27.8,526,10.5,76,1.5,125,2.5,509,10.2,35,0.7,"2,507",50.0,29,0.6,"1,404",28.0,"1,052",21.0,21,0.4,845,15.2,"1,135",20.4,787,14.2,591,10.6,110,2.0,53,1.0,55,1.0,49,0.9,"2,076",37.4,589,10.6,"1,487",26.8,"3,478",62.6,"3,174",57.1,304,5.5
124,Royton North,E05000729,"4,445",388,8.7,"1,158",26.1,"2,211",49.7,688,15.5,"1,673",37.6,"1,584",35.6,"1,082",24.3,91,2.0,15,0.3,974,21.9,"1,897",42.7,"1,252",28.2,320,7.2,"2,898",65.2,"1,231",27.7,316,7.1,24,0.5,24,0.5,320,7.2,20,0.4,"3,176",71.5,33,0.7,731,16.4,501,11.3,3,0.1,464,10.1,"1,125",24.5,582,12.7,419,9.1,88,1.9,40,0.9,25,0.5,31,0.7,"1,244",27.1,364,7.9,880,19.2,"3,348",72.9,"2,968",64.6,380,8.3
125,Royton South,E05000730,"4,827",445,9.2,"1,630",33.8,"2,144",44.4,608,12.6,"1,451",30.1,"2,029",42.0,"1,232",25.5,98,2.0,17,0.4,"1,138",23.6,"2,161",44.8,"1,206",25.0,321,6.7,"3,178",65.8,"1,337",27.7,313,6.5,50,1.0,27,0.6,369,7.6,9,0.2,"3,460",71.7,15,0.3,589,12.2,760,15.7,3,0.1,950,18.7,910,17.9,658,12.9,448,8.8,133,2.6,44,0.9,36,0.7,46,0.9,"1,329",26.1,373,7.3,956,18.8,"3,758",73.9,"3,351",65.9,407,8.0
126,Saddleworth North,E05000731,"4,257",257,6.0,"1,103",25.9,"1,689",39.7,"1,208",28.4,"1,983",46.6,"1,494",35.1,716,16.8,59,1.4,5,0.1,453,10.6,"1,692",39.7,"1,552",36.5,560,13.2,"3,004",70.6,"1,004",23.6,249,5.8,37,0.9,18,0.4,430,10.1,20,0.5,"3,396",79.8,10,0.2,276,6.5,571,13.4,1,0.0,252,5.2,445,9.2,805,16.7,678,14.0,179,3.7,64,1.3,45,0.9,36,0.7,"1,342",27.8,482,10.0,860,17.8,"3,487",72.2,"2,909",60.2,578,12.0
127,Saddleworth South,E05000732,"4,432",367,8.3,"1,101",24.8,"1,668",37.6,"1,296",29.2,"2,026",45.7,"1,573",35.5,789,17.8,41,0.9,2,0.0,701,15.8,"1,763",39.8,"1,506",34.0,462,10.4,"3,134",70.7,"1,045",23.6,253,5.7,37,0.8,11,0.2,355,8.0,17,0.4,"3,533",79.8,22,0.5,326,7.4,548,12.4,0,0.0,295,6.2,321,6.8,838,17.7,642,13.6,170,3.6,53,1.1,46,1.0,41,0.9,"1,393",29.5,509,10.8,884,18.7,"3,328",70.5,"2,735",57.9,593,12.6
128,Saddleworth West and Lees,E05000733,"4,875",301,6.2,"1,729",35.5,"2,037",41.8,806,16.5,"1,642",33.7,"2,057",42.2,"1,073",22.0,94,1.9,10,0.2,916,18.8,"2,124",43.6,"1,427",29.3,409,8.4,"3,268",67.0,"1,279",26.2,328,6.7,40,0.8,26,0.5,380,7.8,15,0.3,"3,655",75.0,16,0.3,411,8.4,792,16.2,1,0.0,456,8.5,"1,158",21.5,706,13.1,613,11.4,147,2.7,61,1.1,30,0.6,36,0.7,"1,392",25.8,452,8.4,940,17.4,"4,002",74.2,"3,528",65.4,474,8.8
129,Shaw (Oldham),E05000736,"4,505",485,10.8,"1,715",38.1,"1,692",37.6,613,13.6,"1,279",28.4,"1,766",39.2,"1,315",29.2,127,2.8,18,0.4,"1,211",26.9,"1,946",43.2,"1,044",23.2,304,6.7,"2,845",63.2,"1,298",28.8,362,8.0,45,1.0,26,0.6,364,8.1,7,0.2,"2,792",62.0,25,0.6,804,17.9,878,19.5,5,0.1,477,10.4,881,19.2,818,17.8,512,11.2,158,3.4,31,0.7,20,0.4,43,0.9,"1,245",27.1,363,7.9,882,19.2,"3,342",72.9,"2,906",63.4,436,9.5
130,St James' (Oldham),E05000734,"4,887",221,4.5,"1,835",37.5,"2,324",47.6,507,10.4,"1,220",25.0,"1,884",38.6,"1,516",31.0,240,4.9,27,0.6,"1,395",28.6,"2,031",41.6,"1,160",23.8,297,6.1,"3,121",63.9,"1,352",27.7,414,8.5,49,1.0,63,1.3,467,9.6,13,0.3,"2,668",54.6,31,0.6,"1,338",27.4,844,17.3,6,0.1,808,14.5,"1,199",21.6,838,15.1,554,10.0,122,2.2,49,0.9,30,0.5,53,1.0,"1,594",28.6,406,7.3,"1,188",21.3,"3,971",71.4,"3,493",62.8,478,8.6
131,St Mary's (Oldham),E05000735,"4,705",483,10.3,"1,741",37.0,"1,482",31.5,999,21.2,626,13.3,"1,388",29.5,"1,712",36.4,681,14.5,298,6.3,"1,703",36.2,"1,943",41.3,783,16.6,275,5.8,"2,858",60.7,"1,331",28.3,516,11.0,79,1.7,147,3.1,487,10.3,6,0.1,"2,106",44.8,50,1.1,"1,383",29.4,"1,153",24.5,13,0.3,"1,101",21.5,766,14.9,721,14.1,515,10.0,118,2.3,62,1.2,63,1.2,70,1.4,"2,250",43.9,645,12.6,"1,605",31.3,"2,880",56.1,"2,593",50.5,287,5.6
