ward,wardcode,car0,car0p,car1,car1p,car2,car2p,car3,car3p
Hale Central,E05000831,430,10.3,"1,747",41.8,"1,554",37.2,448,10.7
Longford (Trafford),E05000832,"1,499",29.1,"2,327",45.2,"1,038",20.2,285,5.5
Priory (Trafford),E05000833,"1,187",23.6,"2,417",48.1,"1,197",23.8,224,4.5
Sale Moor,E05000835,825,18.8,"2,007",45.6,"1,283",29.2,282,6.4
St Mary's (Trafford),E05000834,952,19.8,"1,910",39.7,"1,491",31.0,459,9.5
Stretford,E05000836,"1,188",25.4,"2,086",44.7,"1,092",23.4,303,6.5
Timperley,E05000837,447,10.2,"1,785",40.7,"1,705",38.9,446,10.2
Urmston,E05000838,"1,002",20.4,"2,185",44.5,"1,389",28.3,334,6.8
Village (Trafford),E05000839,827,19.1,"1,792",41.5,"1,325",30.7,377,8.7
Bebington,E05000954,"1,182",18.1,"2,804",42.9,"2,000",30.6,550,8.4
Bidston and St James,E05000955,"2,989",42.3,"2,837",40.2,976,13.8,259,3.7
Birkenhead and Tranmere,E05000956,"4,174",51.8,"2,937",36.4,781,9.7,167,2.1
Bromborough,E05000957,"1,779",24.0,"3,443",46.5,"1,719",23.2,460,6.2
Clatterbridge,E05000958,623,10.6,"2,434",41.4,"2,140",36.4,680,11.6
Claughton,E05000959,"1,596",24.7,"2,734",42.2,"1,622",25.1,521,8.0
Eastham,E05000960,"1,021",17.0,"2,540",42.2,"1,913",31.8,545,9.1
"Greasby, Frankby and Irby",E05000961,667,10.8,"2,593",41.9,"2,249",36.3,679,11.0
Heswall,E05000962,636,10.9,"2,130",36.6,"2,219",38.1,842,14.4
Hoylake and Meols,E05000963,994,17.4,"2,449",42.8,"1,724",30.1,557,9.7
Leasowe and Moreton East,E05000964,"1,745",26.7,"2,896",44.3,"1,520",23.2,383,5.9
Liscard,E05000965,"2,281",32.6,"3,070",43.9,"1,333",19.1,304,4.4
Moreton West and Saughall Massie,E05000966,"1,076",17.2,"2,789",44.7,"1,844",29.6,529,8.5
New Brighton,E05000967,"1,980",28.6,"3,113",45.0,"1,460",21.1,363,5.2
Oxton,E05000968,"1,487",22.3,"3,106",46.6,"1,633",24.5,440,6.6
Pensby and Thingwall,E05000969,843,14.4,"2,550",43.6,"1,902",32.6,548,9.4
Prenton,E05000970,"1,392",22.3,"2,621",41.9,"1,693",27.1,544,8.7
Rock Ferry,E05000971,"2,814",40.8,"2,823",40.9,"1,004",14.6,257,3.7
Seacombe,E05000972,"2,828",42.2,"2,780",41.5,906,13.5,186,2.8
Upton (Wirral),E05000973,"1,981",27.3,"3,062",42.2,"1,679",23.2,529,7.3
Wallasey,E05000974,"1,050",16.7,"2,802",44.5,"1,874",29.8,566,9.0
West Kirby and Thurstaston,E05000975,773,14.0,"2,219",40.3,"1,862",33.8,651,11.8
