ward,wardcode,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep
Didsbury West,E05011363,"3,580",48.2,22,0.3,584,7.9,"3,244",43.7,1,0.0
Fallowfield,E05011364,"1,238",28.7,23,0.5,"1,356",31.5,"1,664",38.6,30,0.7
Gorton & Abbey Hey,E05011365,"2,937",35.2,111,1.3,"2,534",30.3,"2,741",32.8,29,0.3
Harpurhey,E05011366,"2,240",28.4,67,0.8,"3,296",41.7,"2,265",28.7,30,0.4
Higher Blackley,E05011367,"2,765",43.2,51,0.8,"2,370",37.0,"1,190",18.6,24,0.4
Hulme,E05011368,"1,477",18.7,22,0.3,"2,813",35.7,"3,560",45.2,9,0.1
Levenshulme,E05011369,"3,232",44.7,68,0.9,"1,107",15.3,"2,817",38.9,10,0.1
Longsight,E05011370,"2,080",32.1,64,1.0,"2,407",37.2,"1,906",29.4,16,0.2
Miles Platting & Newton Heath,E05011371,"2,636",32.4,47,0.6,"3,826",47.1,"1,591",19.6,30,0.4
Moss Side (Manchester),E05011372,"1,512",20.8,52,0.7,"3,117",42.9,"2,570",35.3,20,0.3
Moston,E05011373,"4,031",54.1,21,0.3,"1,636",21.9,"1,746",23.4,22,0.3
Northenden,E05011374,"2,810",46.3,40,0.7,"2,179",35.9,"1,036",17.1,7,0.1
Old Moat,E05011375,"1,913",33.2,61,1.1,"1,628",28.3,"2,143",37.2,11,0.2
Piccadilly,E05011376,"1,222",19.5,43,0.7,584,9.3,"4,412",70.4,2,0.0
Rusholme,E05011377,"1,499",31.3,17,0.4,"1,078",22.5,"2,189",45.7,7,0.1
Sharston,E05011378,"2,566",36.1,59,0.8,"3,357",47.3,"1,108",15.6,14,0.2
Whalley Range,E05011379,"2,453",37.1,47,0.7,"1,449",21.9,"2,652",40.1,18,0.3
Withington,E05011380,"1,972",35.6,22,0.4,868,15.7,"2,675",48.3,1,0.0
Woodhouse Park,E05011381,"2,251",34.7,126,1.9,"3,084",47.5,"1,021",15.7,13,0.2
Alexandra (Oldham),E05000719,"1,741",36.3,12,0.3,"2,058",42.9,960,20.0,28,0.6
Chadderton Central,E05000720,"3,096",68.3,22,0.5,736,16.2,666,14.7,16,0.4
Chadderton North,E05000721,"3,080",68.4,18,0.4,722,16.0,674,15.0,8,0.2
Chadderton South,E05000722,"2,930",60.4,30,0.6,966,19.9,904,18.6,19,0.4
Coldhurst,E05000723,"1,571",36.3,10,0.2,"1,839",42.5,882,20.4,20,0.5
Crompton (Oldham),E05000724,"3,502",76.3,16,0.3,463,10.1,606,13.2,2,0.0
Failsworth East,E05000725,"3,085",65.6,2,0.0,728,15.5,883,18.8,6,0.1
Failsworth West,E05000726,"2,978",62.2,10,0.2,899,18.8,897,18.7,5,0.1
Hollinwood,E05000727,"2,037",42.5,7,0.1,"1,834",38.2,909,18.9,11,0.2
Medlock Vale,E05000728,"2,507",50.0,29,0.6,"1,404",28.0,"1,052",21.0,21,0.4
Royton North,E05000729,"3,176",71.5,33,0.7,731,16.4,501,11.3,3,0.1
Royton South,E05000730,"3,460",71.7,15,0.3,589,12.2,760,15.7,3,0.1
Saddleworth North,E05000731,"3,396",79.8,10,0.2,276,6.5,571,13.4,1,0.0
Saddleworth South,E05000732,"3,533",79.8,22,0.5,326,7.4,548,12.4,0,0.0
Saddleworth West and Lees,E05000733,"3,655",75.0,16,0.3,411,8.4,792,16.2,1,0.0
Shaw (Oldham),E05000736,"2,792",62.0,25,0.6,804,17.9,878,19.5,5,0.1
St James' (Oldham),E05000734,"2,668",54.6,31,0.6,"1,338",27.4,844,17.3,6,0.1
St Mary's (Oldham),E05000735,"2,106",44.8,50,1.1,"1,383",29.4,"1,153",24.5,13,0.3
Waterhead,E05000737,"2,834",54.7,35,0.7,"1,178",22.7,"1,122",21.6,16,0.3
Werneth,E05000738,"2,085",50.6,18,0.4,"1,066",25.9,896,21.7,56,1.4
Balderstone & Kirkholt,E05014033,"2,297",50.6,7,0.2,"1,598",35.2,614,13.5,20,0.4
Bamford,E05014034,"3,237",76.7,15,0.4,314,7.4,641,15.2,11,0.3
Castleton,E05014035,"2,730",62.3,19,0.4,726,16.6,907,20.7,3,0.1
Central Rochdale,E05014036,"1,908",44.8,10,0.2,894,21.0,"1,438",33.8,9,0.2
East Middleton,E05014037,"3,040",61.4,16,0.3,950,19.2,937,18.9,8,0.2
Healey,E05014038,"3,000",71.2,3,0.1,483,11.5,721,17.1,9,0.2
Hopwood Hall,E05014039,"2,863",62.1,56,1.2,964,20.9,720,15.6,6,0.1
Kingsway (Rochdale),E05014040,"2,199",53.4,11,0.3,"1,084",26.3,817,19.8,7,0.2
Littleborough Lakeside,E05014041,"3,054",71.7,6,0.1,340,8.0,859,20.2,0,0.0
Milkstone & Deeplish,E05014042,"1,584",42.6,7,0.2,999,26.8,"1,109",29.8,23,0.6
Milnrow & Newhey,E05014043,"3,311",70.2,13,0.3,533,11.3,859,18.2,2,0.0
