ward,wardcode,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p
County,E05000893,508,9.4,"1,583",29.2,770,14.2,357,6.6,142,2.6,21,0.4,48,0.9,57,1.1
Cressington,E05000894,447,6.5,"1,061",15.3,"1,363",19.7,642,9.3,103,1.5,49,0.7,74,1.1,53,0.8
Croxteth,E05000895,456,7.2,"1,127",17.9,"1,449",23.0,560,8.9,143,2.3,28,0.4,54,0.9,58,0.9
Everton (Liverpool),E05000896,"1,087",18.3,"1,411",23.7,757,12.7,414,7.0,185,3.1,20,0.3,69,1.2,98,1.6
Fazakerley,E05000897,"1,157",15.3,953,12.6,"1,550",20.5,655,8.7,171,2.3,39,0.5,58,0.8,76,1.0
Greenbank,E05000898,502,8.5,"1,346",22.8,760,12.9,360,6.1,125,2.1,56,0.9,88,1.5,152,2.6
Kensington and Fairfield,E05000899,926,15.1,"1,463",23.9,909,14.8,400,6.5,169,2.8,23,0.4,76,1.2,104,1.7
Kirkdale,E05000900,"1,087",14.5,"1,689",22.5,"1,014",13.5,567,7.6,223,3.0,31,0.4,107,1.4,77,1.0
Knotty Ash,E05000901,685,11.1,877,14.2,"1,507",24.3,318,5.1,88,1.4,40,0.6,67,1.1,46,0.7
Mossley Hill,E05000902,283,4.9,908,15.6,962,16.5,484,8.3,119,2.0,25,0.4,64,1.1,46,0.8
Norris Green,E05000903,894,11.2,"1,800",22.6,"1,638",20.6,650,8.2,126,1.6,37,0.5,58,0.7,89,1.1
Old Swan,E05000904,993,14.5,"1,390",20.3,"1,314",19.2,317,4.6,122,1.8,20,0.3,75,1.1,47,0.7
Picton,E05000905,959,15.4,"1,482",23.8,809,13.0,360,5.8,82,1.3,38,0.6,95,1.5,137,2.2
Princes Park (Liverpool),E05000906,"1,186",18.0,"1,107",16.8,821,12.5,286,4.3,152,2.3,15,0.2,84,1.3,85,1.3
Riverside (Liverpool),E05000907,"2,291",19.7,"1,678",14.4,"1,641",14.1,719,6.2,312,2.7,48,0.4,153,1.3,136,1.2
Speke-Garston,E05000909,"1,642",18.3,"1,291",14.4,"1,379",15.4,"1,386",15.4,135,1.5,52,0.6,69,0.8,86,1.0
St Michael's (Liverpool),E05000908,340,5.0,"1,344",19.8,933,13.8,446,6.6,150,2.2,13,0.2,87,1.3,49,0.7
Tuebrook and Stoneycroft,E05000910,542,8.1,"1,996",29.7,958,14.3,410,6.1,145,2.2,26,0.4,87,1.3,64,1.0
Warbreck (Liverpool),E05000911,782,11.0,"1,256",17.7,"1,393",19.6,552,7.8,144,2.0,28,0.4,73,1.0,51,0.7
Wavertree,E05000912,689,10.1,"1,369",20.0,"1,063",15.5,380,5.6,116,1.7,36,0.5,86,1.3,59,0.9
West Derby,E05000913,514,7.8,"1,166",17.7,"1,367",20.7,428,6.5,116,1.8,29,0.4,59,0.9,74,1.1
Woolton,E05000914,218,3.8,939,16.4,"1,147",20.0,469,8.2,63,1.1,45,0.8,46,0.8,51,0.9
Yew Tree,E05000915,576,8.0,"1,177",16.3,"2,029",28.1,504,7.0,98,1.4,42,0.6,67,0.9,69,1.0
Ancoats & Beswick,E05011350,"1,302",13.6,"1,148",12.0,759,7.9,633,6.6,101,1.1,108,1.1,117,1.2,82,0.9
Ardwick,E05011351,"1,564",23.0,"1,148",16.9,740,10.9,527,7.8,115,1.7,61,0.9,95,1.4,153,2.3
Baguley,E05011352,"1,410",19.8,"1,258",17.6,"1,132",15.9,589,8.3,108,1.5,27,0.4,50,0.7,72,1.0
Brooklands (Manchester),E05011353,589,8.5,"1,425",20.7,"1,233",17.9,449,6.5,103,1.5,37,0.5,50,0.7,50,0.7
Burnage,E05011354,790,10.7,"1,304",17.6,"1,220",16.5,432,5.8,89,1.2,44,0.6,56,0.8,99,1.3
Charlestown,E05011355,621,8.7,"1,174",16.5,"1,630",22.9,779,10.9,78,1.1,88,1.2,64,0.9,97,1.4
Cheetham,E05011356,"1,449",18.0,"1,136",14.1,893,11.1,607,7.5,106,1.3,73,0.9,65,0.8,101,1.3
Chorlton,E05011357,309,4.1,"1,034",13.7,"1,050",13.9,352,4.7,95,1.3,60,0.8,55,0.7,43,0.6
Chorlton Park,E05011358,517,6.0,"1,346",15.5,"1,403",16.2,440,5.1,106,1.2,51,0.6,70,0.8,57,0.7
Clayton & Openshaw,E05011359,844,11.0,"1,661",21.6,"1,451",18.9,750,9.8,77,1.0,69,0.9,81,1.1,151,2.0
Crumpsall,E05011360,"1,017",15.9,"1,066",16.7,967,15.1,524,8.2,87,1.4,30,0.5,66,1.0,55,0.9
Deansgate,E05011361,"1,236",16.9,472,6.4,500,6.8,436,5.9,120,1.6,61,0.8,87,1.2,117,1.6
Didsbury East,E05011362,419,5.3,789,10.0,"1,431",18.2,484,6.1,150,1.9,78,1.0,76,1.0,67,0.9
