ward,wardcode,nodis,nodisp,onedis,onedisp,twodis,twodisp
Unsworth,E05014168,"3,157",66.4,"1,269",26.7,330,6.9
Cherryfield,E05010935,"2,642",57.2,"1,510",32.7,470,10.2
Halewood North,E05010936,"2,911",66.0,"1,191",27.0,307,7.0
Halewood South,E05010937,"2,589",57.8,"1,485",33.2,403,9.0
Northwood (Knowsley),E05010938,"2,602",51.6,"1,875",37.2,565,11.2
Page Moss,E05010939,"2,870",57.4,"1,594",31.9,536,10.7
Prescot North,E05010940,"3,096",63.3,"1,437",29.4,359,7.3
Prescot South,E05010941,"2,648",62.5,"1,208",28.5,382,9.0
Roby,E05010942,"2,621",66.9,970,24.8,327,8.3
Shevington,E05010943,"2,862",63.0,"1,205",26.5,479,10.5
St Gabriels,E05010944,"2,484",59.9,"1,252",30.2,411,9.9
St Michaels (Knowsley),E05010945,"2,167",54.2,"1,441",36.0,392,9.8
Stockbridge,E05010946,"2,581",54.9,"1,615",34.4,501,10.7
Swanside,E05010947,"2,609",67.5,964,24.9,291,7.5
Whiston and Cronton,E05010948,"2,292",58.4,"1,240",31.6,394,10.0
Whitefield,E05010949,"2,372",55.2,"1,485",34.6,441,10.3
Allerton and Hunts Cross,E05000886,"4,225",65.6,"1,717",26.7,494,7.7
Anfield,E05000887,"3,876",59.8,"2,019",31.1,589,9.1
Belle Vale (Liverpool),E05000888,"3,632",52.8,"2,457",35.7,787,11.4
Central (Liverpool),E05000889,"5,561",77.2,"1,374",19.1,268,3.7
Childwall,E05000890,"3,493",67.6,"1,279",24.7,398,7.7
Church (Liverpool),E05000891,"3,929",69.4,"1,384",24.4,351,6.2
Clubmoor,E05000892,"3,488",52.5,"2,341",35.2,817,12.3
County,E05000893,"3,555",56.0,"2,192",34.5,603,9.5
Cressington,E05000894,"4,177",65.1,"1,749",27.2,494,7.7
Croxteth,E05000895,"3,517",58.7,"1,864",31.1,608,10.2
Everton (Liverpool),E05000896,"4,152",53.1,"2,849",36.4,820,10.5
Fazakerley,E05000897,"4,152",60.6,"2,043",29.8,659,9.6
Greenbank,E05000898,"3,641",64.3,"1,606",28.4,413,7.3
Kensington and Fairfield,E05000899,"4,345",61.1,"2,197",30.9,574,8.1
Kirkdale,E05000900,"5,054",58.7,"2,796",32.5,753,8.8
Knotty Ash,E05000901,"3,656",59.4,"1,929",31.4,565,9.2
Mossley Hill,E05000902,"3,596",67.9,"1,368",25.8,333,6.3
Norris Green,E05000903,"4,417",56.1,"2,543",32.3,920,11.7
Old Swan,E05000904,"4,137",58.3,"2,285",32.2,673,9.5
Picton,E05000905,"4,575",61.5,"2,284",30.7,576,7.7
Princes Park (Liverpool),E05000906,"5,005",60.7,"2,674",32.4,565,6.9
Riverside (Liverpool),E05000907,"7,942",69.5,"2,867",25.1,613,5.4
Speke-Garston,E05000909,"5,322",56.9,"3,045",32.6,980,10.5
St Michael's (Liverpool),E05000908,"4,286",68.2,"1,679",26.7,315,5.0
Tuebrook and Stoneycroft,E05000910,"4,149",59.0,"2,292",32.6,596,8.5
Warbreck (Liverpool),E05000911,"4,038",61.8,"1,881",28.8,612,9.4
Wavertree,E05000912,"4,087",64.8,"1,762",28.0,454,7.2
West Derby,E05000913,"3,762",63.1,"1,703",28.6,497,8.3
Woolton,E05000914,"4,040",65.7,"1,729",28.1,380,6.2
Yew Tree,E05000915,"4,164",58.9,"2,220",31.4,686,9.7
Ancoats & Beswick,E05011350,"5,709",76.5,"1,446",19.4,312,4.2
Ardwick,E05011351,"4,434",65.8,"1,842",27.3,463,6.9
Baguley,E05011352,"4,027",59.7,"2,101",31.2,616,9.1
Brooklands (Manchester),E05011353,"4,285",63.0,"1,951",28.7,561,8.3
Burnage,E05011354,"3,868",59.3,"1,970",30.2,685,10.5
Charlestown,E05011355,"4,338",61.7,"2,060",29.3,632,9.0
Cheetham,E05011356,"4,779",68.7,"1,654",23.8,520,7.5
Chorlton,E05011357,"4,108",72.3,"1,309",23.0,263,4.6
Chorlton Park,E05011358,"4,673",65.8,"1,899",26.7,531,7.5
Clayton & Openshaw,E05011359,"4,894",63.5,"2,139",27.7,676,8.8
Crumpsall,E05011360,"3,881",64.4,"1,681",27.9,460,7.6
Deansgate,E05011361,"5,390",85.9,790,12.6,98,1.6
Didsbury East,E05011362,"4,527",72.7,"1,378",22.1,323,5.2
Didsbury West,E05011363,"5,831",78.5,"1,414",19.0,187,2.5
Fallowfield,E05011364,"2,596",60.2,"1,250",29.0,465,10.8
Gorton & Abbey Hey,E05011365,"5,306",63.5,"2,433",29.1,617,7.4
Harpurhey,E05011366,"4,978",63.1,"2,309",29.2,608,7.7
Higher Blackley,E05011367,"3,855",60.3,"1,958",30.6,585,9.1
Hulme,E05011368,"5,764",73.2,"1,854",23.5,261,3.3
Levenshulme,E05011369,"4,755",65.7,"2,005",27.7,473,6.5
Longsight,E05011370,"4,047",62.5,"1,802",27.8,624,9.6
Miles Platting & Newton Heath,E05011371,"4,967",61.1,"2,491",30.6,670,8.2
Moss Side (Manchester),E05011372,"4,871",67.0,"1,895",26.1,503,6.9
Moston,E05011373,"4,761",63.9,"2,084",28.0,611,8.2
Northenden,E05011374,"3,707",61.1,"1,744",28.7,621,10.2
Old Moat,E05011375,"3,647",63.3,"1,611",28.0,499,8.7
Piccadilly,E05011376,"5,173",82.6,974,15.6,116,1.9
Rusholme,E05011377,"3,046",63.6,"1,295",27.1,446,9.3
Sharston,E05011378,"4,212",59.3,"2,212",31.1,680,9.6
Whalley Range,E05011379,"4,454",67.3,"1,767",26.7,398,6.0
Withington,E05011380,"3,669",66.2,"1,378",24.9,492,8.9
Woodhouse Park,E05011381,"3,841",59.1,"2,013",31.0,642,9.9
Alexandra (Oldham),E05000719,"2,789",58.1,"1,520",31.7,488,10.2
Chadderton Central,E05000720,"2,933",64.6,"1,242",27.4,362,8.0
Chadderton North,E05000721,"2,982",66.2,"1,178",26.2,344,7.6
Chadderton South,E05000722,"3,057",63.0,"1,401",28.9,392,8.1
Coldhurst,E05000723,"2,523",58.4,"1,394",32.3,405,9.4
Crompton (Oldham),E05000724,"2,944",64.1,"1,283",28.0,363,7.9
Failsworth East,E05000725,"3,050",64.9,"1,326",28.2,325,6.9
Failsworth West,E05000726,"3,099",64.7,"1,356",28.3,334,7.0
Hollinwood,E05000727,"2,757",57.4,"1,524",31.8,519,10.8
Medlock Vale,E05000728,"3,090",61.7,"1,395",27.8,526,10.5
Royton North,E05000729,"2,898",65.2,"1,231",27.7,316,7.1
Royton South,E05000730,"3,178",65.8,"1,337",27.7,313,6.5
Saddleworth North,E05000731,"3,004",70.6,"1,004",23.6,249,5.8
Saddleworth South,E05000732,"3,134",70.7,"1,045",23.6,253,5.7
Saddleworth West and Lees,E05000733,"3,268",67.0,"1,279",26.2,328,6.7
Shaw (Oldham),E05000736,"2,845",63.2,"1,298",28.8,362,8.0
St James' (Oldham),E05000734,"3,121",63.9,"1,352",27.7,414,8.5
St Mary's (Oldham),E05000735,"2,858",60.7,"1,331",28.3,516,11.0
Waterhead,E05000737,"3,306",63.8,"1,458",28.1,419,8.1
Werneth,E05000738,"2,560",62.1,"1,157",28.1,406,9.8
Balderstone & Kirkholt,E05014033,"2,811",62.0,"1,367",30.1,359,7.9
